1036,185,205,812
44463,77,190,1618,1
44463,362,274,0,1
44463,280,232,1617,1
44463,251,196,1616,1
44463,100,210,1615,1
44463,336,209,1617,1
44463,119,202,1617,1
44463,130,218,1616,1
44463,238,206,1617,1
44463,336,275,1615,1
44463,138,195,1615,1
44463,354,288,1612,1
44463,325,204,1620,1
44463,317,220,1616,1
44463,330,180,1616,1
44463,337,207,1620,1
44463,159,171,1618,1
44463,232,201,1618,1
44463,133,202,1618,1
44463,306,219,1615,1
44463,58,164,24,1
44463,344,191,1620,1
44463,322,188,1620,1
44463,321,199,1616,1
44463,341,203,1619,1
44463,332,204,1619,1
44463,255,233,1615,1
44463,166,178,1617,1
44463,122,207,1618,1
44463,167,194,1616,1
44463,170,182,1618,1
44463,144,201,1616,1
44463,331,187,1620,1
44463,337,242,1616,1
44463,295,229,1618,1
44463,271,228,1618,1
44463,216,184,1618,1
44463,149,194,1618,1
44463,340,194,1616,1
44463,70,168,1617,1
44463,329,183,1621,1
44463,184,181,1616,1
44463,329,183,1619,1
44463,104,200,1616,1
44463,226,188,1616,1
44463,237,191,1618,1
44463,325,190,1619,1
44463,348,212,1619,1
44463,341,203,1621,1
44463,327,208,1619,1
44463,195,181,1618,1
44463,271,223,1616,1
44463,242,211,1618,1
44463,311,218,1618,1
44463,344,195,1615,1
44463,158,188,1618,1
44463,100,206,1618,1
44463,342,192,1619,1
44463,198,193,1615,1
44463,355,247,1615,1
44463,70,177,1618,1
44463,325,190,1621,1
44463,361,314,24,1
44462,322,188,1620,1
44462,341,203,1621,1
44462,344,191,1620,1
44462,325,190,1621,1
44462,325,204,1620,1
44462,337,207,1620,1
44462,329,183,1621,1
44462,333,190,1530,1
44462,331,187,1620,1
44462,332,204,1619,1
44462,341,203,1619,1
44462,329,183,1619,1
44462,348,212,1619,1
44462,325,190,1619,1
44462,342,192,1619,1
44462,327,208,1619,1
44462,361,314,24,1
44462,354,288,1612,1
44462,77,231,1614,1
44461,332,204,1619,1
44461,341,203,1619,1
44461,329,183,1619,1
44461,348,212,1619,1
44461,325,190,1619,1
44461,342,192,1619,1
44461,327,208,1619,1
44461,361,314,24,1
44461,354,288,1612,1
44461,77,231,1614,1
10090,361,314,24
10090,354,288,1612
10090,77,231,1614
44460,361,314,24
44460,354,288,1612
44460,77,231,1614
10089,133,92,1616
10089,104,113,1616
10089,65,124,1616
10089,33,108,1616
10089,28,89,24
10089,136,89,24
10089,122,86,721016
44457,128,36,24,1
10088,137,58,1612,1
10088,203,166,1613,1
10088,129,144,1612,1
10088,182,175,1612,1
10088,202,183,1613,1
10088,123,154,1612,1
10088,151,87,1612,1
10088,178,169,1613,1
10088,139,149,1614,1
10088,158,169,1612,1
10088,188,177,1612,1
10088,149,167,1612,1
10088,130,152,1612,1
10088,150,132,1613,1
10088,95,136,1613,1
10088,192,151,24,1
44455,137,58,1612,1
44455,203,166,1613,1
44455,129,144,1612,1
44455,182,175,1612,1
44455,202,183,1613,1
44455,123,154,1612,1
44455,151,87,1612,1
44455,178,169,1613,1
44455,139,149,1614,1
44455,158,169,1612,1
44455,188,177,1612,1
44455,149,167,1612,1
44455,130,152,1612,1
44455,150,132,1613,1
44455,95,136,1613,1
44455,192,151,24,1
44456,137,58,1612,1
44456,203,166,1613,1
44456,129,144,1612,1
44456,182,175,1612,1
44456,202,183,1613,1
44456,123,154,1612,1
44456,151,87,1612,1
44456,178,169,1613,1
44456,139,149,1614,1
44456,158,169,1612,1
44456,188,177,1612,1
44456,149,167,1612,1
44456,130,152,1612,1
44456,150,132,1613,1
44456,95,136,1613,1
44456,192,151,24,1
44457,137,58,1612,1
44457,203,166,1613,1
44457,129,144,1612,1
44457,182,175,1612,1
44457,202,183,1613,1
44457,123,154,1612,1
44457,151,87,1612,1
44457,178,169,1613,1
44457,139,149,1614,1
44457,158,169,1612,1
44457,188,177,1612,1
44457,149,167,1612,1
44457,130,152,1612,1
44457,150,132,1613,1
44457,95,136,1613,1
44457,192,151,24,1
1011,471,844,18
1787,83,75,18
1785,74,49,18
1786,43,65,18
1786,122,67,18
1783,51,35,11
1783,70,45,11
1783,39,47,11
1783,40,41,11
1783,47,70,11
1783,59,43,11
1783,57,69,11
1783,60,61,11
1783,50,53,11
1783,34,34,18
1783,68,34,18
1783,68,68,18
1783,34,68,18
1015,362,401,18
1015,365,393,18
1015,351,407,18
