[Inv-Add] 19H:1M pid:  1000004  PezziDev Get  3100011 

[Inv-Add] 19H:48M pid:  1000003  Fosforocore Get  721259 

[Inv-Add] 19H:48M pid:  1000003  Fosforocore Get  723701 

[Inv-Add] 19H:48M pid:  1000003  Fosforocore Get  711083 

[Inv-Add] 19H:48M pid:  1000003  Fosforocore Get  711083 

[Inv-Add] 19H:48M pid:  1000003  Fosforocore Get  711083 

[Inv-Add] 19H:48M pid:  1000003  Fosforocore Get  3001027 

[Inv-Add] 19H:48M pid:  1000003  Fosforocore Get  727266 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  723700 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  201009 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  202009 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  203009 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  204009 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  421009 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  152019 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  121029 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  160019 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  134009 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  114009 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  3005160 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  3005161 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  3005164 

[Inv-Add] 19H:49M pid:  1000003  Fosforocore Get  3005167 

[Inv-Add] 19H:50M pid:  1000003  Fosforocore Get  1200000 

[Inv-Add] 19H:50M pid:  1000003  Fosforocore Get  193275 

[Inv-Add] 19H:50M pid:  1000003  Fosforocore Get  188495 

[Inv-Add] 19H:50M pid:  1000003  Fosforocore Get  1200000 

[Inv-Add] 19H:50M pid:  1000003  Fosforocore Get  188175 

[Inv-Add] 19H:50M pid:  1000003  Fosforocore Get  700002 

[Inv-Add] 19H:51M pid:  1000003  Fosforocore Get  421079 

[Inv-Add] 20H:20M pid:  1000003  Fosforocore Get  3100011 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  3005117 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  723700 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  723017 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  723700 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  3005107 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  3005118 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  3005119 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  3001264 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  721052 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  3005120 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  3005123 

[Inv-Add] 20H:23M pid:  1000003  Fosforocore Get  181405 

[Inv-Add] 20H:33M pid:  1000005  maxi Get  721259 

[Inv-Add] 20H:33M pid:  1000005  maxi Get  723701 

[Inv-Add] 20H:33M pid:  1000005  maxi Get  711083 

[Inv-Add] 20H:33M pid:  1000005  maxi Get  711083 

[Inv-Add] 20H:33M pid:  1000005  maxi Get  711083 

[Inv-Add] 20H:33M pid:  1000005  maxi Get  3001027 

[Inv-Add] 20H:33M pid:  1000005  maxi Get  727266 

[Inv-Add] 20H:34M pid:  1000005  maxi Get  3005160 

[Inv-Add] 20H:34M pid:  1000005  maxi Get  3005161 

[Inv-Add] 20H:34M pid:  1000005  maxi Get  3005164 

[Inv-Add] 20H:34M pid:  1000005  maxi Get  3005167 

[Inv-Add] 20H:36M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:36M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  727840 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  727840 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  3004035 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  729477 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  729476 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  3004036 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  131093 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  134093 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  151233 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  150233 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  150233 

[Inv-Add] 20H:37M pid:  1000003  Fosforocore Get  727840 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727840 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727839 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  3004035 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  134173 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727840 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  729477 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  729476 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727840 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:38M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:39M pid:  1000003  Fosforocore Get  727839 

[Inv-Add] 20H:39M pid:  1000003  Fosforocore Get  727839 

[Inv-Add] 20H:39M pid:  1000003  Fosforocore Get  420253 

[Inv-Add] 20H:39M pid:  1000003  Fosforocore Get  421253 

[Inv-Add] 20H:39M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:39M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:39M pid:  1000003  Fosforocore Get  729477 

[Inv-Add] 20H:39M pid:  1000003  Fosforocore Get  727841 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  201009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  202009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  203009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  204009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  626009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  626009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  120009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  150019 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  160019 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  101009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  170009 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  182905 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  700122 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  193735 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  1200000 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  193815 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  1200000 

[Inv-Add] 20H:40M pid:  1000005  maxi Get  723700 

[Inv-Add] 20H:48M pid:  1000005  maxi Get  3005117 

[Inv-Add] 20H:48M pid:  1000005  maxi Get  1088001 

[Inv-Add] 20H:48M pid:  1000005  maxi Get  723700 

[Inv-Add] 20H:48M pid:  1000005  maxi Get  723017 

[Inv-Add] 20H:50M pid:  1000005  maxi Get  3005118 

[Inv-Add] 20H:50M pid:  1000005  maxi Get  1088001 

[Inv-Add] 20H:50M pid:  1000005  maxi Get  1088001 

[Inv-Add] 20H:50M pid:  1000005  maxi Get  1088001 

[Inv-Add] 20H:50M pid:  1000005  maxi Get  3005119 

[Inv-Add] 20H:50M pid:  1000005  maxi Get  3001264 

[Inv-Add] 20H:50M pid:  1000005  maxi Get  3005120 

[Inv-Add] 20H:50M pid:  1000005  maxi Get  721052 

[Inv-Add] 20H:50M pid:  1000003  Fosforocore Get  3008733 

[Inv-Add] 20H:50M pid:  1000003  Fosforocore Get  3301224 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:5M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:6M pid:  1000003  Fosforocore Get  134093 

[Inv-Add] 21H:6M pid:  1000003  Fosforocore Get  188175 

[Inv-Add] 21H:6M pid:  1000003  Fosforocore Get  188495 

[Inv-Add] 21H:8M pid:  1000003  Fosforocore Get  2100025 

[Inv-Add] 21H:10M pid:  1000003  Fosforocore Get  1060020 

[Inv-Add] 21H:11M pid:  1000003  Fosforocore Get  1060039 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:13M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:14M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:14M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:14M pid:  1000003  Fosforocore Get  1088001 

[Inv-Add] 21H:16M pid:  1000003  Fosforocore Get  3008733 

