[Inv-Lost] 17H:28M pid:   1000003  Fosforocore Lost  188495 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:31M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:32M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

[Inv-Lost] 17H:33M pid:   1000005  maxi Lost  1088001 

